engine,category,best_test,candidate_test,best_energy,candidate_energy,ratio_to_best
xs,polymorphic,split,baseline,96979121.5,124961350.0,1.2885386881958918
xs,polymorphic,split,split,96979121.5,96979121.5,1.0
xs,prototype,function,baseline,81046118.5,127112315.0,1.568394851630063
xs,prototype,function,function,81046118.5,81046118.5,1.0
xs,regex,hoist,baseline,4529010.5,95887572.0,21.17185906281295
xs,regex,hoist,hoist,4529010.5,4529010.5,1.0
xs,regex,hoist,inline,4529010.5,94100162.0,20.77720111269338
xs,replace-loop,replaceAll,baseline,7721202.5,101489761.0,13.144294687258883
xs,replace-loop,replaceAll,replace-regex,7721202.5,230566609.0,29.861489709666337
xs,replace-loop,replaceAll,replaceAll,7721202.5,7721202.5,1.0
xs,replace-loop,replaceAll,replaceAll-regex,7721202.5,233120252.5,30.192221030338214
xs,replace-loop,replaceAll,split-join,7721202.5,13986200.5,1.8114018509422594
xs,replace-size,replaceAll,baseline,711546.0,72295194.5,101.60298069274509
xs,replace-size,replaceAll,replace-regex,711546.0,1487210.0,2.090110829096081
xs,replace-size,replaceAll,replaceAll,711546.0,711546.0,1.0
xs,replace-size,replaceAll,replaceAll-regex,711546.0,1525265.0,2.1435929651772336
xs,replace-size,replaceAll,split-join,711546.0,763853.5,1.0735124644084852
xs,search-string,baseline,baseline,145703240.5,145703240.5,1.0
xs,search-string,baseline,indexOf,145703240.5,155762907.0,1.0690421603903861
xs,string-from-array,join,baseline,29518388.0,168230770.5,5.699185555119067
xs,string-from-array,join,concat,29518388.0,229946402.5,7.789937665295273
xs,string-from-array,join,join,29518388.0,29518388.0,1.0
xs,string-from-array,join,literal,29518388.0,562612390.5,19.05972611038245
xs,substring,substr,baseline,147589588.0,152057014.0,1.0302692490746705
xs,substring,substr,charAt,147589588.0,231246753.0,1.566822945531903
xs,substring,substr,substr,147589588.0,147589588.0,1.0
xs,sum-array,reduce,baseline,140584296.0,144561702.5,1.0282919686847527
xs,sum-array,reduce,reduce,140584296.0,140584296.0,1.0
