category,test,engine,N,sample,energy_uj,time_s,mem_kb
access-char,baseline,v8,524288,10,528197,0.0262147,36736
access-char,baseline,v8,1048576,1,618101,0.0308874,36352
access-char,baseline,v8,1048576,2,618285,0.0306821,36608
access-char,baseline,v8,1048576,3,595824,0.0303936,36480
access-char,baseline,v8,1048576,4,591917,0.0304986,36480
access-char,baseline,v8,1048576,5,612853,0.0304755,36480
access-char,baseline,v8,1048576,6,618224,0.0307123,36736
access-char,baseline,v8,1048576,7,614318,0.0307948,36224
access-char,baseline,v8,1048576,8,606017,0.0304072,36480
access-char,baseline,v8,1048576,9,597350,0.0304082,36096
access-char,baseline,v8,1048576,10,620848,0.0304635,36608
access-char,baseline,v8,2097152,1,767637,0.0391176,36608
access-char,baseline,v8,2097152,2,757688,0.0391652,36352
access-char,baseline,v8,2097152,3,772825,0.0392148,36480
access-char,baseline,v8,2097152,4,758666,0.0390321,36352
access-char,baseline,v8,2097152,5,763853,0.0391539,36480
access-char,baseline,v8,2097152,6,756163,0.0390436,36480
access-char,baseline,v8,2097152,7,755247,0.0391109,36608
access-char,baseline,v8,2097152,8,760801,0.0391178,36224
access-char,baseline,v8,2097152,9,775084,0.0392241,36480
access-char,baseline,v8,2097152,10,765318,0.0391795,36224
access-char,baseline,v8,4194304,1,1066038,0.0564918,36736
access-char,baseline,v8,4194304,2,1078732,0.0563154,36480
access-char,baseline,v8,4194304,3,1066648,0.0565107,36224
access-char,baseline,v8,4194304,4,1088926,0.0566039,36480
access-char,baseline,v8,4194304,5,1081357,0.0567834,36608
access-char,baseline,v8,4194304,6,1099668,0.0567997,36736
access-char,baseline,v8,4194304,7,1070737,0.0566062,36608
access-char,baseline,v8,4194304,8,1082578,0.056842,36480
access-char,baseline,v8,4194304,9,1067075,0.0565251,36224
access-char,baseline,v8,4194304,10,1088620,0.056767,36480
access-char,baseline,v8,8388608,1,1699825,0.0912538,36352
access-char,baseline,v8,8388608,2,1698421,0.0910449,36608
access-char,baseline,v8,8388608,3,1685115,0.0909504,36224
access-char,baseline,v8,8388608,4,1683955,0.0913336,36864
access-char,baseline,v8,8388608,5,1701228,0.0912978,36480
access-char,baseline,v8,8388608,6,1709957,0.0911109,36096
access-char,baseline,v8,8388608,7,1703120,0.0913108,36096
access-char,baseline,v8,8388608,8,1697566,0.0912271,36736
access-char,baseline,v8,8388608,9,1670162,0.0908823,36352
access-char,baseline,v8,8388608,10,1693783,0.0911209,36736
access-char,baseline,v8,16777216,1,2953544,0.160318,36224
access-char,baseline,v8,16777216,2,2915397,0.160288,36480
access-char,baseline,v8,16777216,3,2925835,0.160564,36480
access-char,baseline,v8,16777216,4,2924370,0.160505,36608
access-char,baseline,v8,16777216,5,2934013,0.16072,36736
access-char,baseline,v8,16777216,6,2928887,0.160285,36096
access-char,baseline,v8,16777216,7,2908074,0.160433,36224
access-char,baseline,v8,16777216,8,2904228,0.16063,36352
access-char,baseline,v8,16777216,9,2934563,0.160844,36480
access-char,baseline,v8,16777216,10,2931450,0.160941,36736
access-char,baseline,v8,33554432,1,5387010,0.299717,36480
access-char,baseline,v8,33554432,2,5404039,0.299256,36608
access-char,baseline,v8,33554432,3,5395738,0.299582,36352
access-char,baseline,v8,33554432,4,5388658,0.300515,36608
access-char,baseline,v8,33554432,5,5397081,0.299489,36224
access-char,baseline,v8,33554432,6,5387376,0.299236,36736
access-char,baseline,v8,33554432,7,5383531,0.299304,36608
access-char,baseline,v8,33554432,8,5408616,0.302155,36352
access-char,baseline,v8,33554432,9,5382798,0.298854,36736
access-char,baseline,v8,33554432,10,5394213,0.299669,36608
access-char,baseline,v8,67108864,1,10357151,0.576801,36480
access-char,baseline,v8,67108864,2,10310948,0.577228,36480
access-char,baseline,v8,67108864,3,10285557,0.576081,36096
access-char,baseline,v8,67108864,4,10311497,0.576337,36992
access-char,baseline,v8,67108864,5,10295139,0.576452,36352
access-char,baseline,v8,67108864,6,10289707,0.576571,36352
access-char,baseline,v8,67108864,7,10306004,0.576693,36736
access-char,baseline,v8,67108864,8,10294835,0.576407,36480
access-char,baseline,v8,67108864,9,10299352,0.575976,36480
access-char,baseline,v8,67108864,10,10287510,0.576871,36480
access-char,baseline,v8,134217728,1,20160410,1.13089,36608
access-char,baseline,v8,134217728,2,20151926,1.13084,36224
access-char,baseline,v8,134217728,3,20158456,1.13137,36480
access-char,baseline,v8,134217728,4,20139658,1.13159,36480
access-char,baseline,v8,134217728,5,20137704,1.13136,36480
access-char,baseline,v8,134217728,6,20138681,1.1311,36736
access-char,baseline,v8,134217728,7,20155588,1.13178,36480
access-char,baseline,v8,134217728,8,20166208,1.13192,36480
access-char,baseline,v8,134217728,9,20143686,1.1323,36736
access-char,baseline,v8,134217728,10,20162912,1.1326,36608
access-char,baseline,v8,268435456,1,39820272,2.24041,36608
access-char,baseline,v8,268435456,2,39803854,2.24055,36480
access-char,baseline,v8,268435456,3,39821675,2.23986,36608
access-char,baseline,v8,268435456,4,39794149,2.23984,36352
access-char,baseline,v8,268435456,5,39816549,2.24102,36608
access-char,baseline,v8,268435456,6,39825277,2.24063,36352
access-char,baseline,v8,268435456,7,39799397,2.24022,36736
access-char,baseline,v8,268435456,8,39809407,2.24081,36608
access-char,baseline,v8,268435456,9,39808125,2.24023,36608
access-char,baseline,v8,268435456,10,39821614,2.24062,36608
access-char,baseline,v8,536870912,1,79123332,4.45825,36480
