category,test,engine,N,sample,energy_uj,time_s,mem_kb
string-from-array,baseline,sm,131072,2,15690023,0.802888,43780
string-from-array,baseline,sm,131072,3,15579001,0.79825,43740
string-from-array,baseline,sm,131072,4,15126915,0.773925,43424
string-from-array,baseline,sm,131072,5,14653588,0.748724,45108
string-from-array,baseline,sm,131072,6,15862081,0.811468,43552
string-from-array,baseline,sm,131072,7,15818197,0.808599,42912
string-from-array,baseline,sm,131072,8,15575461,0.797347,43224
string-from-array,baseline,sm,131072,9,15404990,0.786606,42680
string-from-array,baseline,sm,131072,10,15149741,0.772714,42604
string-from-array,baseline,sm,262144,1,28902392,1.47568,46736
string-from-array,baseline,sm,262144,2,29416184,1.50411,49656
string-from-array,baseline,sm,262144,3,28682910,1.46313,50276
string-from-array,baseline,sm,262144,4,27773305,1.41568,48180
string-from-array,baseline,sm,262144,5,29780320,1.52078,48120
string-from-array,baseline,sm,262144,6,29930892,1.53092,48468
string-from-array,baseline,sm,262144,7,30789472,1.57632,46768
string-from-array,baseline,sm,262144,8,30025009,1.53536,46116
string-from-array,baseline,sm,262144,9,27967702,1.42231,50772
string-from-array,baseline,sm,262144,10,27599783,1.40587,47276
string-from-array,baseline,sm,524288,1,59905547,3.06578,57044
string-from-array,baseline,sm,524288,2,56755287,2.89391,56204
string-from-array,baseline,sm,524288,3,55809427,2.84059,52984
string-from-array,baseline,sm,524288,4,61526393,3.1556,53816
string-from-array,baseline,sm,524288,5,55183575,2.81284,57192
string-from-array,baseline,sm,524288,6,57521948,2.9358,56300
string-from-array,baseline,sm,524288,7,55845316,2.84606,52828
string-from-array,baseline,sm,524288,8,59569061,3.0361,55312
string-from-array,baseline,sm,524288,9,56266092,2.87059,55348
string-from-array,baseline,sm,524288,10,55014751,2.8004,52768
string-from-array,baseline,sm,1048576,1,112628801,5.74306,68416
string-from-array,baseline,sm,1048576,2,121763970,6.23192,72748
string-from-array,baseline,sm,1048576,3,116177559,5.93314,67684
string-from-array,baseline,sm,1048576,4,115851937,5.91648,69492
string-from-array,baseline,sm,1048576,5,110602500,5.63602,70744
string-from-array,baseline,sm,1048576,6,109612024,5.58188,68724
string-from-array,baseline,sm,1048576,7,112631486,5.73776,72920
string-from-array,baseline,sm,1048576,8,117293645,5.99557,72260
string-from-array,baseline,sm,1048576,9,111730916,5.70516,70812
string-from-array,baseline,sm,1048576,10,111876362,5.7033,68648
string-from-array,concat,sm,1024,1,719358,0.0364301,29184
string-from-array,concat,sm,1024,2,714415,0.0371594,29440
string-from-array,concat,sm,1024,3,726133,0.037173,29312
string-from-array,concat,sm,1024,4,707091,0.0365532,29696
string-from-array,concat,sm,1024,5,689757,0.036459,29824
string-from-array,concat,sm,1024,6,690306,0.0366088,29568
string-from-array,concat,sm,1024,7,718077,0.0370534,29440
string-from-array,concat,sm,1024,8,710996,0.0366866,29824
string-from-array,concat,sm,1024,9,701353,0.0372552,29568
string-from-array,concat,sm,1024,10,717405,0.0369725,29312
string-from-array,concat,sm,2048,1,997190,0.0510136,29620
string-from-array,concat,sm,2048,2,984007,0.050975,30004
string-from-array,concat,sm,2048,3,994322,0.0511777,29876
string-from-array,concat,sm,2048,4,947386,0.0501414,29696
string-from-array,concat,sm,2048,5,954221,0.049982,29696
string-from-array,concat,sm,2048,6,966551,0.0509908,30004
string-from-array,concat,sm,2048,7,999326,0.0522857,29628
string-from-array,concat,sm,2048,8,990110,0.0512218,29760
string-from-array,concat,sm,2048,9,976804,0.0509568,29628
string-from-array,concat,sm,2048,10,983213,0.0512499,29748
string-from-array,concat,sm,4096,1,1598507,0.0828262,29952
string-from-array,concat,sm,4096,2,1546321,0.0825723,29812
string-from-array,concat,sm,4096,3,1497310,0.0794573,30036
string-from-array,concat,sm,4096,4,1573665,0.0831401,29940
string-from-array,concat,sm,4096,5,1520504,0.0799795,29400
string-from-array,concat,sm,4096,6,1532467,0.08035,30068
string-from-array,concat,sm,4096,7,1487240,0.0785201,30008
string-from-array,concat,sm,4096,8,1531918,0.0808335,29816
string-from-array,concat,sm,4096,9,1530025,0.0792676,30036
string-from-array,concat,sm,4096,10,1520321,0.0801487,29692
string-from-array,concat,sm,8192,1,2709465,0.144004,29796
string-from-array,concat,sm,8192,2,2545769,0.134822,30332
string-from-array,concat,sm,8192,3,2550775,0.134979,30316
string-from-array,concat,sm,8192,4,2556085,0.13481,30576
string-from-array,concat,sm,8192,5,2564020,0.134961,30320
string-from-array,concat,sm,8192,6,2627007,0.138833,29952
string-from-array,concat,sm,8192,7,2545159,0.13391,29908
string-from-array,concat,sm,8192,8,2534966,0.134822,30316
string-from-array,concat,sm,8192,9,2627740,0.138524,29804
string-from-array,concat,sm,8192,10,2553948,0.135022,30324
string-from-array,concat,sm,16384,1,4662158,0.24858,30988
string-from-array,concat,sm,16384,2,4983813,0.266141,30460
string-from-array,concat,sm,16384,3,4678332,0.248788,30720
string-from-array,concat,sm,16384,4,4700245,0.248952,30856
string-from-array,concat,sm,16384,5,4737048,0.248919,30740
string-from-array,concat,sm,16384,6,4947558,0.263752,30904
string-from-array,concat,sm,16384,7,5150744,0.270081,30680
string-from-array,concat,sm,16384,8,4726245,0.250479,30820
string-from-array,concat,sm,16384,9,4703174,0.249438,30388
string-from-array,concat,sm,16384,10,4662342,0.248395,30988
string-from-array,concat,sm,32768,1,8898354,0.473454,32240
string-from-array,concat,sm,32768,2,8954506,0.474368,32140
string-from-array,concat,sm,32768,3,8920936,0.47324,32212
string-from-array,concat,sm,32768,4,9490821,0.506761,32156
string-from-array,concat,sm,32768,5,9030311,0.479807,32172
string-from-array,concat,sm,32768,6,8941750,0.472053,32208
string-from-array,concat,sm,32768,7,9548193,0.510527,31884
string-from-array,concat,sm,32768,8,8956214,0.474077,34128
string-from-array,concat,sm,32768,9,8960243,0.473075,33528
string-from-array,concat,sm,32768,10,8934914,0.474577,32280
string-from-array,concat,sm,65536,1,18515700,0.990034,34568
string-from-array,concat,sm,65536,2,18531325,0.991215,35032
string-from-array,concat,sm,65536,3,18591444,0.991353,34880
string-from-array,concat,sm,65536,4,18618361,0.994498,35024
string-from-array,concat,sm,65536,5,17658463,0.931409,34928
string-from-array,concat,sm,65536,6,17831436,0.936872,35016
string-from-array,concat,sm,65536,7,17466264,0.926281,36380
string-from-array,concat,sm,65536,8,18624342,0.994779,36388
string-from-array,concat,sm,65536,9,18463088,0.986288,34880
string-from-array,concat,sm,65536,10,17881668,0.929073,36332
string-from-array,concat,sm,131072,1,34274448,1.82076,39852
string-from-array,concat,sm,131072,2,34647738,1.82696,40304
string-from-array,concat,sm,131072,3,34667758,1.823,39900
string-from-array,concat,sm,131072,4,36808805,1.95204,40180
string-from-array,concat,sm,131072,5,34927218,1.83998,40260
string-from-array,concat,sm,131072,6,34779451,1.83073,39936
string-from-array,concat,sm,131072,7,34515659,1.82593,39856
string-from-array,concat,sm,131072,8,34851779,1.8378,40136
string-from-array,concat,sm,131072,9,34531101,1.83255,40268
string-from-array,concat,sm,131072,10,35080111,1.82747,39808
string-from-array,concat,sm,262144,1,70504946,3.66548,49872
string-from-array,concat,sm,262144,2,73238338,3.88143,49960
string-from-array,concat,sm,262144,3,69600347,3.61422,49804
string-from-array,concat,sm,262144,4,70296329,3.64993,50284
string-from-array,concat,sm,262144,5,73495051,3.90102,50176
string-from-array,concat,sm,262144,6,69230109,3.6132,50132
string-from-array,concat,sm,262144,7,68770820,3.60292,50032
string-from-array,concat,sm,262144,8,69201666,3.62869,50064
string-from-array,concat,sm,262144,9,69554265,3.6567,50320
string-from-array,concat,sm,262144,10,69266180,3.63309,50200
string-from-array,concat,sm,524288,1,139125681,7.29726,70292
string-from-array,concat,sm,524288,2,145826226,7.75667,71584
string-from-array,concat,sm,524288,3,137277725,7.24795,72928
string-from-array,concat,sm,524288,4,137783034,7.20346,70260
string-from-array,concat,sm,524288,5,145822197,7.74432,71708
string-from-array,concat,sm,524288,6,140778021,7.2434,70860
string-from-array,concat,sm,524288,7,137249344,7.2338,70516
string-from-array,concat,sm,524288,8,137319351,7.20034,70284
string-from-array,concat,sm,524288,9,137164200,7.26863,70560
string-from-array,concat,sm,524288,10,145716058,7.78479,71940
string-from-array,concat,sm,1048576,1,276885522,14.6033,74356
string-from-array,concat,sm,1048576,2,289461783,15.439,72544
string-from-array,concat,sm,1048576,3,284692509,14.5958,72960
string-from-array,concat,sm,1048576,4,289165764,15.4624,72448
string-from-array,concat,sm,1048576,5,272264928,14.4064,72308
string-from-array,concat,sm,1048576,6,290823474,15.4407,72712
string-from-array,concat,sm,1048576,7,275451749,14.4012,72372
string-from-array,concat,sm,1048576,8,279234515,14.5486,72964
string-from-array,concat,sm,1048576,9,271445838,14.3882,72996
string-from-array,concat,sm,1048576,10,274472503,14.468,72992
string-from-array,join,sm,1024,1,500060,0.0262113,23936
string-from-array,join,sm,1024,2,500853,0.0260442,23808
string-from-array,join,sm,1024,3,503599,0.0262116,24192
string-from-array,join,sm,1024,4,492125,0.0262054,24064
string-from-array,join,sm,1024,5,521422,0.026251,24064
string-from-array,join,sm,1024,6,498472,0.0261757,23936
string-from-array,join,sm,1024,7,499572,0.0262275,23936
string-from-array,join,sm,1024,8,507201,0.0259932,23808
string-from-array,join,sm,1024,9,521544,0.0261875,24192
string-from-array,join,sm,1024,10,502562,0.0262106,23936
string-from-array,join,sm,2048,1,641783,0.0337633,27136
string-from-array,join,sm,2048,2,656066,0.0335447,26880
string-from-array,join,sm,2048,3,637022,0.0336189,27136
string-from-array,join,sm,2048,4,657469,0.0337743,26880
string-from-array,join,sm,2048,5,635863,0.0334438,27264
string-from-array,join,sm,2048,6,630980,0.0336832,26880
string-from-array,join,sm,2048,7,630187,0.0335736,27008
string-from-array,join,sm,2048,8,642942,0.0336819,26752
string-from-array,join,sm,2048,9,633361,0.0336259,27008
string-from-array,join,sm,2048,10,660154,0.0338107,27136
string-from-array,join,sm,4096,1,903074,0.0462195,27136
string-from-array,join,sm,4096,2,889097,0.0460856,27136
string-from-array,join,sm,4096,3,886594,0.0461015,27392
string-from-array,join,sm,4096,4,891477,0.0460508,27264
string-from-array,join,sm,4096,5,895505,0.0463785,27264
string-from-array,join,sm,4096,6,891050,0.0460393,27392
string-from-array,join,sm,4096,7,883055,0.04608,27136
string-from-array,join,sm,4096,8,888486,0.0462116,27136
string-from-array,join,sm,4096,9,866697,0.0459924,27136
string-from-array,join,sm,4096,10,889036,0.0459305,27264
string-from-array,join,sm,8192,1,1387997,0.0733847,29440
string-from-array,join,sm,8192,2,1380184,0.0731144,29056
string-from-array,join,sm,8192,3,1381893,0.0734072,29440
string-from-array,join,sm,8192,4,1377743,0.0731566,29312
string-from-array,join,sm,8192,5,1391842,0.0734418,29440
string-from-array,join,sm,8192,6,1390194,0.0733691,29440
string-from-array,join,sm,8192,7,1365353,0.0728177,29568
string-from-array,join,sm,8192,8,1383602,0.0731592,29312
string-from-array,join,sm,8192,9,1405575,0.073399,29056
string-from-array,join,sm,8192,10,1417355,0.0736205,29312
string-from-array,join,sm,16384,1,2373834,0.12602,29280
string-from-array,join,sm,16384,2,2364924,0.125439,29380
string-from-array,join,sm,16384,3,2364740,0.125273,29376
string-from-array,join,sm,16384,4,2383783,0.125352,29312
string-from-array,join,sm,16384,5,2376093,0.124564,29424
string-from-array,join,sm,16384,6,2384271,0.125826,29608
string-from-array,join,sm,16384,7,2371393,0.124587,29312
string-from-array,join,sm,16384,8,2389154,0.125853,29444
string-from-array,join,sm,16384,9,2392388,0.12578,29460
string-from-array,join,sm,16384,10,2371149,0.124689,29328
string-from-array,join,sm,32768,1,4270252,0.225897,29312
string-from-array,join,sm,32768,2,4292469,0.227182,29184
string-from-array,join,sm,32768,3,4227162,0.22494,29244
string-from-array,join,sm,32768,4,4229665,0.22509,29396
string-from-array,join,sm,32768,5,4240346,0.225428,29364
string-from-array,join,sm,32768,6,4262135,0.225844,29184
string-from-array,join,sm,32768,7,4262379,0.225923,29676
string-from-array,join,sm,32768,8,4281788,0.22666,29648
string-from-array,join,sm,32768,9,4271290,0.227111,29440
string-from-array,join,sm,32768,10,4249256,0.225522,29284
string-from-array,join,sm,65536,1,8021280,0.425906,29312
string-from-array,join,sm,65536,2,8036174,0.427796,29568
string-from-array,join,sm,65536,3,8026469,0.426809,29512
string-from-array,join,sm,65536,4,7999614,0.426353,29452
string-from-array,join,sm,65536,5,8056070,0.427552,29496
string-from-array,join,sm,65536,6,7995158,0.425756,29312
string-from-array,join,sm,65536,7,8021830,0.426516,29544
string-from-array,join,sm,65536,8,8025614,0.426368,29560
string-from-array,join,sm,65536,9,8012614,0.426409,29488
string-from-array,join,sm,65536,10,8019694,0.426095,29360
string-from-array,join,sm,131072,1,15528219,0.828514,29400
string-from-array,join,sm,131072,2,15506369,0.827494,29256
string-from-array,join,sm,131072,3,15512045,0.827338,29440
string-from-array,join,sm,131072,4,15515585,0.826986,29456
string-from-array,join,sm,131072,5,15532186,0.828502,29452
string-from-array,join,sm,131072,6,15501364,0.826709,29480
string-from-array,join,sm,131072,7,15495016,0.825965,29168
string-from-array,join,sm,131072,8,15581503,0.830135,29532
string-from-array,join,sm,131072,9,15538352,0.828812,29356
string-from-array,join,sm,131072,10,15506613,0.826544,29436
string-from-array,join,sm,262144,1,30591231,1.63225,29312
string-from-array,join,sm,262144,2,30508406,1.6276,29368
string-from-array,join,sm,262144,3,30675642,1.63646,29396
string-from-array,join,sm,262144,4,30511214,1.62808,29684
string-from-array,join,sm,262144,5,30599714,1.63241,29360
string-from-array,join,sm,262144,6,30573408,1.63023,29304
string-from-array,join,sm,262144,7,30552229,1.63,29060
string-from-array,join,sm,262144,8,30579023,1.63169,29344
string-from-array,join,sm,262144,9,30558089,1.63074,29652
string-from-array,join,sm,262144,10,30505720,1.62835,29376
string-from-array,join,sm,524288,1,60608365,3.23493,29256
string-from-array,join,sm,524288,2,60684109,3.23871,29444
string-from-array,join,sm,524288,3,60618742,3.23213,29276
string-from-array,join,sm,524288,4,60728849,3.24095,29568
string-from-array,join,sm,524288,5,60573209,3.23357,29628
string-from-array,join,sm,524288,6,60492093,3.22809,29176
string-from-array,join,sm,524288,7,60630033,3.23577,29400
string-from-array,join,sm,524288,8,60454252,3.22642,29440
string-from-array,join,sm,524288,9,60628262,3.23548,29488
string-from-array,join,sm,524288,10,60525296,3.23099,29408
string-from-array,join,sm,1048576,1,120718014,6.44626,29384
string-from-array,join,sm,1048576,2,120596432,6.43921,29516
string-from-array,join,sm,1048576,3,120698909,6.44107,29252
string-from-array,join,sm,1048576,4,120721005,6.44251,29460
string-from-array,join,sm,1048576,5,120486264,6.4306,29532
string-from-array,join,sm,1048576,6,120634030,6.44099,29400
string-from-array,join,sm,1048576,7,120497739,6.43268,29516
string-from-array,join,sm,1048576,8,120777035,6.44552,29100
string-from-array,join,sm,1048576,9,120728573,6.44674,29732
string-from-array,join,sm,1048576,10,120667172,6.44192,29644
string-from-array,literal,sm,1024,1,594908,0.0313032,29312
string-from-array,literal,sm,1024,2,620055,0.0312927,29696
string-from-array,literal,sm,1024,3,621336,0.0315922,29824
string-from-array,literal,sm,1024,4,596434,0.0316372,29952
string-from-array,literal,sm,1024,5,590819,0.0314801,29696
string-from-array,literal,sm,1024,6,600585,0.0315448,29696
string-from-array,literal,sm,1024,7,595091,0.031401,29824
string-from-array,literal,sm,1024,8,622618,0.0312038,29312
string-from-array,literal,sm,1024,9,618223,0.0316216,29824
string-from-array,literal,sm,1024,10,599791,0.0313748,29824
string-from-array,literal,sm,2048,1,774290,0.0397929,29824
string-from-array,literal,sm,2048,2,765989,0.03982,29696
string-from-array,literal,sm,2048,3,750792,0.0397962,30080
string-from-array,literal,sm,2048,4,781858,0.0398771,29696
string-from-array,literal,sm,2048,5,766051,0.0397571,29824
string-from-array,literal,sm,2048,6,762510,0.0403653,29824
string-from-array,literal,sm,2048,7,769591,0.0397335,29952
string-from-array,literal,sm,2048,8,810606,0.0416305,32640
string-from-array,literal,sm,2048,9,784238,0.0397199,29312
string-from-array,literal,sm,2048,10,763670,0.0397962,29824
string-from-array,literal,sm,4096,1,1120114,0.0588672,32640
string-from-array,literal,sm,4096,2,1130185,0.058839,32896
string-from-array,literal,sm,4096,3,1129148,0.0592256,32384
string-from-array,literal,sm,4096,4,1136227,0.0591107,32768
string-from-array,literal,sm,4096,5,1130979,0.0587464,33024
string-from-array,literal,sm,4096,6,1122251,0.0589338,32640
string-from-array,literal,sm,4096,7,1127317,0.059255,32768
string-from-array,literal,sm,4096,8,1114865,0.0588216,32512
string-from-array,literal,sm,4096,9,1116940,0.0590113,32640
string-from-array,literal,sm,4096,10,1125729,0.058978,32896
string-from-array,literal,sm,8192,1,1766902,0.0933184,33024
string-from-array,literal,sm,8192,2,1789363,0.0948534,33224
string-from-array,literal,sm,8192,3,1796077,0.0948191,32968
string-from-array,literal,sm,8192,4,1790339,0.0948902,33224
string-from-array,literal,sm,8192,5,1805538,0.0948749,33080
string-from-array,literal,sm,8192,6,1790950,0.0948611,33216
string-from-array,literal,sm,8192,7,1803584,0.0948109,33088
string-from-array,literal,sm,8192,8,1914851,0.100897,35236
string-from-array,literal,sm,8192,9,1800411,0.0948116,32700
string-from-array,literal,sm,8192,10,1785579,0.0947297,32708
string-from-array,literal,sm,16384,1,3085197,0.163995,33464
string-from-array,literal,sm,16384,2,3103630,0.165036,38016
string-from-array,literal,sm,16384,3,3078789,0.164335,33592
string-from-array,literal,sm,16384,4,3178642,0.167851,36968
string-from-array,literal,sm,16384,5,3171561,0.167758,37356
string-from-array,literal,sm,16384,6,3169243,0.167673,37220
string-from-array,literal,sm,16384,7,3091728,0.164236,33620
string-from-array,literal,sm,16384,8,3085991,0.163513,32948
string-from-array,literal,sm,16384,9,3055473,0.163591,33220
string-from-array,literal,sm,16384,10,3138176,0.166551,33684
string-from-array,literal,sm,32768,1,5775742,0.307337,34304
string-from-array,literal,sm,32768,2,5817307,0.310291,33764
string-from-array,literal,sm,32768,3,5747850,0.305473,33936
string-from-array,literal,sm,32768,4,5763718,0.305582,36840
string-from-array,literal,sm,32768,5,5829331,0.310715,34536
string-from-array,literal,sm,32768,6,5693955,0.30396,34584
string-from-array,literal,sm,32768,7,5715256,0.304845,34320
string-from-array,literal,sm,32768,8,5817185,0.310854,34264
string-from-array,literal,sm,32768,9,5760361,0.307218,37224
string-from-array,literal,sm,32768,10,5808395,0.310035,34144
string-from-array,literal,sm,65536,1,11151522,0.596008,35192
string-from-array,literal,sm,65536,2,11000277,0.58787,35848
string-from-array,literal,sm,65536,3,11016208,0.587695,37248
string-from-array,literal,sm,65536,4,11017550,0.587074,37248
string-from-array,literal,sm,65536,5,10885348,0.581328,37488
string-from-array,literal,sm,65536,6,11101229,0.591589,37120
string-from-array,literal,sm,65536,7,11476777,0.609861,39264
string-from-array,literal,sm,65536,8,11127718,0.592345,35912
string-from-array,literal,sm,65536,9,11136568,0.593985,37972
string-from-array,literal,sm,65536,10,11226534,0.597368,38112
string-from-array,literal,sm,131072,1,21487738,1.14152,38496
string-from-array,literal,sm,131072,2,21530707,1.13157,42436
string-from-array,literal,sm,131072,3,21959966,1.16676,38708
string-from-array,literal,sm,131072,4,21956670,1.17324,38612
string-from-array,literal,sm,131072,5,21776617,1.15919,38828
string-from-array,literal,sm,131072,6,22394169,1.19177,40304
string-from-array,literal,sm,131072,7,21917241,1.16923,38420
string-from-array,literal,sm,131072,8,21671331,1.15702,38392
string-from-array,literal,sm,131072,9,21923162,1.16926,38744
string-from-array,literal,sm,131072,10,21638983,1.15118,39252
string-from-array,literal,sm,262144,1,43275524,2.31036,44536
string-from-array,literal,sm,262144,2,43464488,2.31622,43992
string-from-array,literal,sm,262144,3,43240123,2.30592,44192
string-from-array,literal,sm,262144,4,43177502,2.30824,44372
string-from-array,literal,sm,262144,5,43298779,2.31432,44372
string-from-array,literal,sm,262144,6,43209850,2.31128,44176
string-from-array,literal,sm,262144,7,43319103,2.31726,46940
string-from-array,literal,sm,262144,8,43034252,2.29808,44504
string-from-array,literal,sm,262144,9,43001538,2.29657,44500
string-from-array,literal,sm,262144,10,43138561,2.3037,44564
string-from-array,literal,sm,524288,1,85796595,4.57833,56504
string-from-array,literal,sm,524288,2,86434715,4.60058,56096
string-from-array,literal,sm,524288,3,85235927,4.54909,55940
string-from-array,literal,sm,524288,4,86729880,4.61791,56028
string-from-array,literal,sm,524288,5,87961506,4.69613,58828
string-from-array,literal,sm,524288,6,85752039,4.57684,56604
string-from-array,literal,sm,524288,7,83094636,4.44312,61852
string-from-array,literal,sm,524288,8,83538238,4.46415,59712
string-from-array,literal,sm,524288,9,83030488,4.43591,61064
string-from-array,literal,sm,524288,10,88680376,4.73613,59272
string-from-array,literal,sm,1048576,1,171671436,9.16884,75308
string-from-array,literal,sm,1048576,2,167414488,8.94434,75044
string-from-array,literal,sm,1048576,3,171533191,9.16394,75984
string-from-array,literal,sm,1048576,4,172956467,9.18362,75672
string-from-array,literal,sm,1048576,5,169953178,9.07303,75428
string-from-array,literal,sm,1048576,6,171411792,9.16861,77360
string-from-array,literal,sm,1048576,7,170862722,9.13052,75576
string-from-array,literal,sm,1048576,8,171509815,9.14315,76108
string-from-array,literal,sm,1048576,9,171050771,9.10953,77172
string-from-array,literal,sm,1048576,10,172613206,9.1909,75544
substring,baseline,sm,1024,1,365111,0.019104,22400
substring,baseline,sm,1024,2,380187,0.0191483,22272
substring,baseline,sm,1024,3,365905,0.0191514,22400
substring,baseline,sm,1024,4,362060,0.0189868,22656
substring,baseline,sm,1024,5,364745,0.0191421,22528
substring,baseline,sm,1024,6,366454,0.0192594,22528
substring,baseline,sm,1024,7,364807,0.0190228,22528
substring,baseline,sm,1024,8,369628,0.0190349,22528
substring,baseline,sm,1024,9,347350,0.018903,22272
substring,baseline,sm,1024,10,366515,0.019298,22528
substring,baseline,sm,2048,1,373534,0.0194028,22912
substring,baseline,sm,2048,2,391356,0.0191514,22912
substring,baseline,sm,2048,3,367858,0.0193713,23168
substring,baseline,sm,2048,4,367065,0.0192676,23040
substring,baseline,sm,2048,5,380920,0.0191439,22912
substring,baseline,sm,2048,6,367858,0.0192648,23552
substring,baseline,sm,2048,7,386230,0.0193605,23296
substring,baseline,sm,2048,8,361083,0.0192719,23168
substring,baseline,sm,2048,9,369567,0.0193126,22912
substring,baseline,sm,2048,10,367309,0.0193249,23296
substring,baseline,sm,4096,1,366698,0.0196385,24320
substring,baseline,sm,4096,2,368834,0.0194867,24192
substring,baseline,sm,4096,3,377074,0.0194629,24320
substring,baseline,sm,4096,4,387267,0.0196429,24448
substring,baseline,sm,4096,5,384581,0.0194253,24320
substring,baseline,sm,4096,6,384460,0.0194821,24320
substring,baseline,sm,4096,7,387084,0.0196096,24192
substring,baseline,sm,4096,8,382750,0.0196933,24192
substring,baseline,sm,4096,9,387939,0.0197146,24320
substring,baseline,sm,4096,10,387450,0.0195425,24192
substring,baseline,sm,8192,1,384276,0.0195988,24064
substring,baseline,sm,8192,2,388732,0.0195231,24064
substring,baseline,sm,8192,3,390136,0.0193856,24192
substring,baseline,sm,8192,4,367858,0.0194703,24192
substring,baseline,sm,8192,5,366882,0.0194895,24192
substring,baseline,sm,8192,6,383727,0.0195021,24192
substring,baseline,sm,8192,7,381652,0.0194918,24192
substring,baseline,sm,8192,8,383178,0.0197944,24064
substring,baseline,sm,8192,9,381346,0.0198546,24192
substring,baseline,sm,8192,10,368774,0.0197115,24320
substring,baseline,sm,16384,1,386413,0.0196948,23936
substring,baseline,sm,16384,2,381225,0.0197509,24064
substring,baseline,sm,16384,3,384765,0.019669,24576
substring,baseline,sm,16384,4,384887,0.0197176,24320
substring,baseline,sm,16384,5,382202,0.019584,24192
substring,baseline,sm,16384,6,364074,0.0194319,24320
substring,baseline,sm,16384,7,388183,0.019786,24192
substring,baseline,sm,16384,8,380919,0.0194488,24320
substring,baseline,sm,16384,9,384704,0.0197174,24576
substring,baseline,sm,16384,10,385314,0.0197688,24320
substring,baseline,sm,32768,1,388182,0.0198154,24192
substring,baseline,sm,32768,2,404723,0.0200573,24192
substring,baseline,sm,32768,3,389953,0.0198085,24064
substring,baseline,sm,32768,4,380614,0.0198474,24320
substring,baseline,sm,32768,5,389830,0.019703,24448
substring,baseline,sm,32768,6,381408,0.0198359,24192
substring,baseline,sm,32768,7,392028,0.0200433,24192
substring,baseline,sm,32768,8,385863,0.0199304,24320
substring,baseline,sm,32768,9,385802,0.0196636,24320
substring,baseline,sm,32768,10,384765,0.0197883,24320
substring,baseline,sm,65536,1,379699,0.0202877,24064
substring,baseline,sm,65536,2,398863,0.0202673,24064
substring,baseline,sm,65536,3,386961,0.0200279,24320
substring,baseline,sm,65536,4,382140,0.0200456,24192
substring,baseline,sm,65536,5,387328,0.0200788,24064
substring,baseline,sm,65536,6,379515,0.0202035,23936
substring,baseline,sm,65536,7,388305,0.0201016,24064
substring,baseline,sm,65536,8,383850,0.0201106,24192
substring,baseline,sm,65536,9,382690,0.0201083,24576
substring,baseline,sm,65536,10,387633,0.0199992,24192
substring,baseline,sm,131072,1,407897,0.0208241,24320
substring,baseline,sm,131072,2,406188,0.0206193,24192
substring,baseline,sm,131072,3,404479,0.0206602,24064
substring,baseline,sm,131072,4,402526,0.0205105,24064
substring,baseline,sm,131072,5,405394,0.0206651,24064
substring,baseline,sm,131072,6,407958,0.0206323,24192
substring,baseline,sm,131072,7,404479,0.0205737,24064
substring,baseline,sm,131072,8,404357,0.0205289,24320
substring,baseline,sm,131072,9,384826,0.0205752,24320
substring,baseline,sm,131072,10,388854,0.0205399,24192
substring,baseline,sm,262144,1,427245,0.021697,24320
substring,baseline,sm,262144,2,424498,0.0215916,24448
substring,baseline,sm,262144,3,428282,0.0217549,24192
substring,baseline,sm,262144,4,427184,0.0217382,23936
substring,baseline,sm,262144,5,435485,0.0219899,24320
substring,baseline,sm,262144,6,408934,0.0217644,24320
substring,baseline,sm,262144,7,406981,0.0215857,24448
substring,baseline,sm,262144,8,406493,0.021748,24320
substring,baseline,sm,262144,9,423400,0.0219464,24064
substring,baseline,sm,262144,10,425109,0.0217989,24064
substring,baseline,sm,524288,1,469420,0.0238643,24192
substring,baseline,sm,524288,2,466978,0.0236429,24192
substring,baseline,sm,524288,3,465148,0.0238021,24448
substring,baseline,sm,524288,4,467528,0.0239759,24192
substring,baseline,sm,524288,5,442260,0.0238159,24192
substring,baseline,sm,524288,6,458006,0.0239058,24320
substring,baseline,sm,524288,7,458983,0.0239309,24192
substring,baseline,sm,524288,8,466734,0.0238804,24192
substring,baseline,sm,524288,9,441771,0.023882,24320
substring,baseline,sm,524288,10,465331,0.023745,24448
substring,baseline,sm,1048576,1,549559,0.0283136,24064
substring,baseline,sm,1048576,2,527403,0.0284421,24064
substring,baseline,sm,1048576,3,533019,0.0283313,24192
substring,baseline,sm,1048576,4,554136,0.0281452,24320
substring,baseline,sm,1048576,5,541319,0.0285012,24448
substring,baseline,sm,1048576,6,536071,0.0279542,23936
substring,baseline,sm,1048576,7,540282,0.0281958,24448
substring,baseline,sm,1048576,8,534545,0.0283052,24448
substring,baseline,sm,1048576,9,534605,0.028183,24192
substring,baseline,sm,1048576,10,534911,0.0280753,24192
substring,baseline,sm,2097152,1,680907,0.0366892,24192
substring,baseline,sm,2097152,2,674070,0.0367918,24192
substring,baseline,sm,2097152,3,685851,0.0368717,24064
substring,baseline,sm,2097152,4,694884,0.0366707,24448
substring,baseline,sm,2097152,5,692687,0.0366976,24320
substring,baseline,sm,2097152,6,688108,0.036897,24192
substring,baseline,sm,2097152,7,695127,0.0366843,24320
substring,baseline,sm,2097152,8,791624,0.0429028,24320
substring,baseline,sm,2097152,9,701475,0.0367808,24448
substring,baseline,sm,2097152,10,707884,0.0368768,24064
substring,baseline,sm,4194304,1,1004392,0.0538954,24192
